ELEMENTO		Valor		Fecha de Recoleccion	
PLA_A02			31		28/07/2004 08:00
PLA_A02			37		28/07/2004 09:00
PLA_A02			41		28/07/2004 10:00
PLA_A02			43		28/07/2004 11:00
PLA_A02			43		28/07/2004 12:00
PLA_A02			43		28/07/2004 13:00
PLA_A02			44		28/07/2004 15:00
PLA_A02			42		28/07/2004 16:00
PLA_A02			37		28/07/2004 17:00
PLA_A02			33		28/07/2004 18:00
PLA_A02			31		28/07/2004 19:00
PLA_A02			28		28/07/2004 20:00
PLA_A02			27		28/07/2004 21:00
PLA_A02			26		28/07/2004 22:00
PLA_A02			26		28/07/2004 23:00
PLA_A02			25		29/07/2004 00:00
PLA_A02			25		29/07/2004 01:00
PLA_A02			24		29/07/2004 02:00
PLA_A02			24		29/07/2004 03:00
PLA_A02			23		29/07/2004 04:00
PLA_A02			23		29/07/2004 05:00
PLA_A02			23		29/07/2004 06:00
PLA_A02			25		29/07/2004 07:00
PLA_A02			28		29/07/2004 08:00
PLA_A02			35		29/07/2004 09:00
PLA_A02			44		29/07/2004 10:00
PLA_A02			45		29/07/2004 11:00
PLA_A02			45		29/07/2004 12:00
PLA_A02			44		29/07/2004 13:00
PLA_A02			44		29/07/2004 14:00
PLA_A02			44		29/07/2004 15:00
PLA_A02			44		29/07/2004 16:00
PLA_A02			39		29/07/2004 17:00
PLA_A02			34		29/07/2004 18:00
PLA_A02			32		29/07/2004 19:00
PLA_A02			32		29/07/2004 20:00
PLA_A02			28		29/07/2004 21:00
PLA_A02			27		29/07/2004 22:00
PLA_A02			28		29/07/2004 23:00
PLA_A02			27		30/07/2004 00:00
PLA_A02			27		30/07/2004 01:00
PLA_A02			27		30/07/2004 02:00
PLA_A02			26		30/07/2004 03:00
PLA_A02			25		30/07/2004 04:00
PLA_A02			24		30/07/2004 05:00
PLA_A02			24		30/07/2004 06:00
PLA_A02			26		30/07/2004 07:00
PLA_A02			30		30/07/2004 08:00
PLA_A02			35		30/07/2004 09:00
PLA_A02			39		30/07/2004 10:00
PLA_A02			41		30/07/2004 11:00
PLA_A02			42		30/07/2004 12:00
PLA_A02			41		30/07/2004 13:00
PLA_A02			39		30/07/2004 14:00
PLA_A02			38		30/07/2004 15:00
PLA_A02			38		30/07/2004 16:00
PLA_A02			35		30/07/2004 17:00
PLA_A02			31		30/07/2004 18:00
PLA_A02			29		30/07/2004 19:00
PLA_A02			27		30/07/2004 20:00
PLA_A02			25		30/07/2004 21:00
PLA_A02			25		30/07/2004 22:00
PLA_A02			24		30/07/2004 23:00
PLA_A02			24		31/07/2004 00:00
PLA_A02			25		31/07/2004 01:00
PLA_A02			24		31/07/2004 02:00
PLA_A02			24		31/07/2004 03:00
PLA_A02			24		31/07/2004 04:00
PLA_A02			24		31/07/2004 05:00
PLA_A02			23		31/07/2004 06:00
PLA_A02			22		31/07/2004 07:00
PLA_A02			23		31/07/2004 08:00
PLA_A02			25		31/07/2004 09:00
PLA_A02			26		31/07/2004 10:00
PLA_A02			28		31/07/2004 11:00
PLA_A02			27		31/07/2004 12:00
PLA_A02			26		31/07/2004 13:00
PLA_A02			26		31/07/2004 14:00
PLA_A02			26		31/07/2004 15:00
PLA_A02			26		31/07/2004 16:00
PLA_A02			26		31/07/2004 17:00
PLA_A02			25		31/07/2004 18:00
PLA_A02			25		31/07/2004 19:00
PLA_A02			26		31/07/2004 20:00
PLA_A02			25		31/07/2004 21:00
PLA_A02			24		31/07/2004 22:00
PLA_A02			23		31/07/2004 23:00
